#bike_id|station_id
Bike-195|00028670e3d01438515caba403ffd680
Bike-005|00028670e3d01438515caba403ffd680
Bike-158|00028670e3d01438515caba403ffd680
Bike-242|00028670e3d01438515caba403ffd680
Bike-053|00028670e3d01438515caba403ffd680
Bike-171|00028670e3d01438515caba403ffd680
Bike-167|00028670e3d01438515caba403ffd680
Bike-263|00028670e3d01438515caba403ffd680
Bike-257|00028670e3d01438515caba403ffd680
Bike-239|00028670e3d01438515caba403ffd680
Bike-125|00028670e3d01438515caba403ffd680
Bike-129|00028670e3d01438515caba403ffd680
Bike-196|00028670e3d01438515caba403ffd680
Bike-197|00028670e3d01438515caba403ffd680
Bike-244|00028670e3d01438515caba403ffd680
Bike-066|00028670e3d01438515caba403ffd680
Bike-056|00028670e3d01438515caba403ffd680
Bike-023|00028670e3d01438515caba403ffd680
Bike-296|00028670e3d01438515caba403ffd680
Bike-061|00028670e3d01438515caba403ffd680
Bike-020|00028670e3d01438515caba403ffd680
Bike-284|00341b8b54545c560fdec7d7983f9f5a
Bike-086|00341b8b54545c560fdec7d7983f9f5a
Bike-127|00341b8b54545c560fdec7d7983f9f5a
Bike-264|00341b8b54545c560fdec7d7983f9f5a
Bike-039|00341b8b54545c560fdec7d7983f9f5a
Bike-300|00341b8b54545c560fdec7d7983f9f5a
Bike-031|00341b8b54545c560fdec7d7983f9f5a
Bike-237|00341b8b54545c560fdec7d7983f9f5a
Bike-254|00341b8b54545c560fdec7d7983f9f5a
Bike-205|00341b8b54545c560fdec7d7983f9f5a
Bike-076|00341b8b54545c560fdec7d7983f9f5a
Bike-209|00565dda9629be93f8f69358b48602cc
Bike-226|00565dda9629be93f8f69358b48602cc
Bike-259|00565dda9629be93f8f69358b48602cc
Bike-002|00565dda9629be93f8f69358b48602cc
Bike-215|00565dda9629be93f8f69358b48602cc
Bike-199|00565dda9629be93f8f69358b48602cc
Bike-091|00565dda9629be93f8f69358b48602cc
Bike-236|00565dda9629be93f8f69358b48602cc
Bike-063|00565dda9629be93f8f69358b48602cc
Bike-235|006395fd7434c1f65d20cf0a1b0c94f0
Bike-099|006395fd7434c1f65d20cf0a1b0c94f0
Bike-048|006395fd7434c1f65d20cf0a1b0c94f0
Bike-247|006395fd7434c1f65d20cf0a1b0c94f0
Bike-295|006395fd7434c1f65d20cf0a1b0c94f0
Bike-278|006395fd7434c1f65d20cf0a1b0c94f0
Bike-037|006395fd7434c1f65d20cf0a1b0c94f0
Bike-201|006395fd7434c1f65d20cf0a1b0c94f0
Bike-168|006395fd7434c1f65d20cf0a1b0c94f0
Bike-014|006395fd7434c1f65d20cf0a1b0c94f0
Bike-269|006395fd7434c1f65d20cf0a1b0c94f0
Bike-036|006395fd7434c1f65d20cf0a1b0c94f0
Bike-136|006395fd7434c1f65d20cf0a1b0c94f0
Bike-189|00e4814116fc414fb00b93cc1c9aa1ca
Bike-004|00e4814116fc414fb00b93cc1c9aa1ca
Bike-232|00e4814116fc414fb00b93cc1c9aa1ca
Bike-033|00e4814116fc414fb00b93cc1c9aa1ca
Bike-077|00e4814116fc414fb00b93cc1c9aa1ca
Bike-024|00e4814116fc414fb00b93cc1c9aa1ca
Bike-246|00e4814116fc414fb00b93cc1c9aa1ca
Bike-133|026153e8343ea0aa59a299ddc55f1883
Bike-080|026153e8343ea0aa59a299ddc55f1883
Bike-207|026153e8343ea0aa59a299ddc55f1883
Bike-181|026153e8343ea0aa59a299ddc55f1883
Bike-192|026153e8343ea0aa59a299ddc55f1883
Bike-122|026153e8343ea0aa59a299ddc55f1883
Bike-106|026153e8343ea0aa59a299ddc55f1883
Bike-060|026153e8343ea0aa59a299ddc55f1883
Bike-078|026153e8343ea0aa59a299ddc55f1883
Bike-090|026153e8343ea0aa59a299ddc55f1883
Bike-058|026153e8343ea0aa59a299ddc55f1883
Bike-105|026153e8343ea0aa59a299ddc55f1883
Bike-071|026153e8343ea0aa59a299ddc55f1883
Bike-250|026153e8343ea0aa59a299ddc55f1883
Bike-172|026153e8343ea0aa59a299ddc55f1883
Bike-203|026153e8343ea0aa59a299ddc55f1883
Bike-101|026153e8343ea0aa59a299ddc55f1883
Bike-255|026153e8343ea0aa59a299ddc55f1883
Bike-035|026153e8343ea0aa59a299ddc55f1883
Bike-019|03b90625659c5bcdf8466510c9c9cdb3
Bike-107|03b90625659c5bcdf8466510c9c9cdb3
Bike-164|03b90625659c5bcdf8466510c9c9cdb3
Bike-011|03b90625659c5bcdf8466510c9c9cdb3
Bike-102|03b90625659c5bcdf8466510c9c9cdb3
Bike-130|03b90625659c5bcdf8466510c9c9cdb3
Bike-188|03b90625659c5bcdf8466510c9c9cdb3
Bike-094|03b90625659c5bcdf8466510c9c9cdb3
Bike-026|03b90625659c5bcdf8466510c9c9cdb3
Bike-230|03b90625659c5bcdf8466510c9c9cdb3
Bike-290|03b90625659c5bcdf8466510c9c9cdb3
Bike-050|03b90625659c5bcdf8466510c9c9cdb3
Bike-153|03b90625659c5bcdf8466510c9c9cdb3
Bike-113|03b90625659c5bcdf8466510c9c9cdb3
Bike-183|03b90625659c5bcdf8466510c9c9cdb3
Bike-240|03e6b3ec53c2502134c81d25be2babea
Bike-084|03e6b3ec53c2502134c81d25be2babea
Bike-137|03e6b3ec53c2502134c81d25be2babea
Bike-276|03e6b3ec53c2502134c81d25be2babea
Bike-152|03e6b3ec53c2502134c81d25be2babea
Bike-231|03e6b3ec53c2502134c81d25be2babea
Bike-073|03e6b3ec53c2502134c81d25be2babea
Bike-286|03e6b3ec53c2502134c81d25be2babea
Bike-093|03e6b3ec53c2502134c81d25be2babea
Bike-038|03e6b3ec53c2502134c81d25be2babea
Bike-018|03e6b3ec53c2502134c81d25be2babea
Bike-283|03e6b3ec53c2502134c81d25be2babea
Bike-213|03e6b3ec53c2502134c81d25be2babea
Bike-046|03e6b3ec53c2502134c81d25be2babea
Bike-051|03e6b3ec53c2502134c81d25be2babea
Bike-027|03f546e866d88a87aca588e8177f96eb
Bike-074|03f546e866d88a87aca588e8177f96eb
Bike-120|03f546e866d88a87aca588e8177f96eb
Bike-214|03f546e866d88a87aca588e8177f96eb
Bike-279|03f546e866d88a87aca588e8177f96eb
Bike-079|03f546e866d88a87aca588e8177f96eb
Bike-009|03f546e866d88a87aca588e8177f96eb
Bike-142|03f546e866d88a87aca588e8177f96eb
Bike-146|03f546e866d88a87aca588e8177f96eb
Bike-289|03f546e866d88a87aca588e8177f96eb
Bike-251|03f546e866d88a87aca588e8177f96eb
Bike-261|03f546e866d88a87aca588e8177f96eb
Bike-224|03f546e866d88a87aca588e8177f96eb
Bike-157|03f546e866d88a87aca588e8177f96eb
Bike-267|03f546e866d88a87aca588e8177f96eb
Bike-001|03f546e866d88a87aca588e8177f96eb
Bike-054|03f8133a557d1706e2bdaa59db24514c
Bike-149|03f8133a557d1706e2bdaa59db24514c
Bike-248|03f8133a557d1706e2bdaa59db24514c
Bike-055|03f8133a557d1706e2bdaa59db24514c
Bike-016|03f8133a557d1706e2bdaa59db24514c
Bike-109|03f8133a557d1706e2bdaa59db24514c
Bike-211|03f8133a557d1706e2bdaa59db24514c
Bike-145|03f8133a557d1706e2bdaa59db24514c
Bike-052|03f8133a557d1706e2bdaa59db24514c
Bike-111|03f8133a557d1706e2bdaa59db24514c
Bike-065|03f8133a557d1706e2bdaa59db24514c
Bike-234|03f8133a557d1706e2bdaa59db24514c
Bike-118|03f8133a557d1706e2bdaa59db24514c
Bike-227|03f8133a557d1706e2bdaa59db24514c
Bike-045|03f8133a557d1706e2bdaa59db24514c
Bike-049|03f8133a557d1706e2bdaa59db24514c
Bike-204|03f8133a557d1706e2bdaa59db24514c
Bike-059|03f8133a557d1706e2bdaa59db24514c
Bike-222|03f8133a557d1706e2bdaa59db24514c
Bike-210|03f8133a557d1706e2bdaa59db24514c
Bike-260|03f8133a557d1706e2bdaa59db24514c
Bike-012|03f8133a557d1706e2bdaa59db24514c
Bike-288|03f8133a557d1706e2bdaa59db24514c
Bike-265|03f8133a557d1706e2bdaa59db24514c
Bike-082|03f8133a557d1706e2bdaa59db24514c
Bike-271|03f8133a557d1706e2bdaa59db24514c
Bike-087|03f8133a557d1706e2bdaa59db24514c
Bike-124|04c1f418a16200483f9ff8d36ffbea54
Bike-121|04c1f418a16200483f9ff8d36ffbea54
Bike-028|04c1f418a16200483f9ff8d36ffbea54
Bike-131|04c1f418a16200483f9ff8d36ffbea54
Bike-298|04c1f418a16200483f9ff8d36ffbea54
Bike-185|04c1f418a16200483f9ff8d36ffbea54
Bike-144|04c1f418a16200483f9ff8d36ffbea54
Bike-057|04c1f418a16200483f9ff8d36ffbea54
